Time,Temperature (C),RH (%),Sensor Number
2023-11-14 19:24:32,,,0
2023-11-14 19:24:47,23.3,50.9,1
2023-11-14 19:25:02,23.4,50.8,0
2023-11-14 19:25:17,23.4,50.8,1
2023-11-14 19:25:32,23.6,49.5,0
2023-11-14 19:25:47,,,1
2023-11-14 19:26:02,23.4,50.8,0
2023-11-14 19:26:17,23.6,49.6,1
2023-11-14 19:26:32,23.6,49.6,0
2023-11-14 19:26:47,23.6,49.6,1
