Time,Temperature (C),RH (%),Sensor Number
2023-11-14 19:10:46,23.3,50.8,0
2023-11-14 19:11:01,23.6,49.5,1
2023-11-14 19:11:16,,,0
2023-11-14 19:11:31,23.6,49.5,1
