Time,Temperature (C),RH (%),Sensor Number
2023-12-12 21:52:15,,,0
2023-12-12 21:52:30,25.1,65.1,1
2023-12-12 21:52:45,25.1,64.9,0
2023-12-12 21:53:00,,,1
2023-12-12 21:53:15,24.9,61.4,0
