Time,Temperature (C),RH (%),Sensor Number
2023-11-14 19:07:36,,,0
2023-11-14 19:07:51,23.4,50.8,1
2023-11-14 19:08:06,23.4,50.7,0
2023-11-14 19:08:21,,,1
2023-11-14 19:08:36,,,0
2023-11-14 19:08:51,,,1
2023-11-14 19:09:06,23.6,49.5,0
2023-11-14 19:09:21,23.6,49.5,1
2023-11-14 19:09:36,23.6,49.5,0
