Time,Temperature (C),RH (%),Sensor Number
2023-11-14 19:01:23,23.6,49.5,0
2023-11-14 19:01:38,-1,-1,1
2023-11-14 19:01:53,23.6,49.5,0
2023-11-14 19:02:08,-1,-1,1
2023-11-14 19:02:23,23.4,50.7,0
2023-11-14 19:02:38,23.4,50.7,1
2023-11-14 19:02:53,23.4,50.8,0
2023-11-14 19:03:08,-1,-1,1
2023-11-14 19:03:23,-1,-1,0
2023-11-14 19:03:38,23.6,49.5,1
