Time,Temperature (C),RH (%),Sensor Number
2023-12-12 21:53:35,25.0,65.7,0
2023-12-12 21:53:50,24.9,61.4,1
2023-12-12 21:54:05,25.0,66.7,0
2023-12-12 21:54:20,,,1
2023-12-12 21:54:35,25.0,67.3,0
2023-12-12 21:54:50,25.0,67.4,1
2023-12-12 21:55:05,25.0,67.5,0
2023-12-12 21:55:20,25.0,67.6,1
2023-12-12 21:55:35,25.0,67.7,0
2023-12-12 21:55:50,,,1
