Date,Time,C_CO2
11/07/2023,23:35,426.8968505859375
11/07/2023,23:36,424.8348388671875
11/07/2023,23:36,426.84228515625
11/07/2023,23:37,428.82171630859375
11/07/2023,23:37,430.60882568359375
11/07/2023,23:38,432.2620849609375
11/07/2023,23:38,432.08502197265625
11/07/2023,23:39,432.10784912109375
11/07/2023,23:39,432.2294921875
11/07/2023,23:40,432.25439453125
11/07/2023,23:40,432.225830078125
11/07/2023,23:41,432.1485595703125
11/07/2023,23:41,432.13970947265625
11/07/2023,23:42,434.20562744140625
