Date,Time,C_CO2
11/08/2023,11:00,141.46160888671875
11/08/2023,11:00,143.93234252929688
11/08/2023,11:01,147.40640258789062
11/08/2023,11:01,149.92422485351562
11/08/2023,11:01,143.48080444335938
11/08/2023,11:01,132.09945678710938
11/08/2023,11:01,129.77947998046875
11/08/2023,11:01,126.75927734375
11/08/2023,11:02,126.66899108886719
11/08/2023,11:02,127.62478637695312
11/08/2023,11:02,136.18728637695312
11/08/2023,11:02,141.13531494140625
11/08/2023,11:02,146.09304809570312
11/08/2023,11:02,153.0543212890625
11/08/2023,11:03,159.013427734375
11/08/2023,11:03,164.95294189453125
11/08/2023,11:03,168.87814331054688
11/08/2023,11:03,169.80282592773438
11/08/2023,11:03,194.69601440429688
11/08/2023,11:03,205.5972900390625
11/08/2023,11:04,212.51522827148438
11/08/2023,11:04,215.47235107421875
11/08/2023,11:04,215.45486450195312
11/08/2023,11:04,218.44891357421875
11/08/2023,11:04,256.90447998046875
11/08/2023,11:04,304.96136474609375
11/08/2023,11:05,323.0965576171875
11/08/2023,11:05,331.43524169921875
11/08/2023,11:05,334.05322265625
11/08/2023,11:05,341.0745849609375
11/08/2023,11:05,344.4696044921875
11/08/2023,11:05,344.221435546875
11/08/2023,11:06,346.133056640625
11/08/2023,11:06,348.1817626953125
11/08/2023,11:06,350.380859375
11/08/2023,11:06,352.7138671875
11/08/2023,11:06,353.07147216796875
11/08/2023,11:06,355.97772216796875
11/08/2023,11:07,354.6483154296875
11/08/2023,11:07,357.59539794921875
11/08/2023,11:07,356.59149169921875
11/08/2023,11:07,357.6175537109375
11/08/2023,11:07,356.8502197265625
11/08/2023,11:07,356.18975830078125
11/08/2023,11:08,357.4505615234375
11/08/2023,11:08,358.65966796875
11/08/2023,11:08,359.64544677734375
11/08/2023,11:08,356.40814208984375
