Date,Time,C_CO2
11/08/2023,10:25,246.96722412109375
11/08/2023,10:25,246.19384765625
11/08/2023,10:25,254.46282958984375
11/08/2023,10:25,261.4962158203125
11/08/2023,10:25,266.0828857421875
11/08/2023,10:25,266.69671630859375
11/08/2023,10:26,275.34332275390625
11/08/2023,10:26,282.04754638671875
11/08/2023,10:26,292.8350830078125
11/08/2023,10:26,289.35888671875
11/08/2023,10:26,243.9285888671875
11/08/2023,10:26,222.1761474609375
11/08/2023,10:27,225.39962768554688
11/08/2023,10:27,251.63931274414062
11/08/2023,10:27,283.712646484375
11/08/2023,10:27,292.13726806640625
11/08/2023,10:27,294.6004638671875
11/08/2023,10:27,293.0101318359375
11/08/2023,10:28,257.60052490234375
11/08/2023,10:28,214.14501953125
11/08/2023,10:28,204.52688598632812
11/08/2023,10:28,204.90615844726562
11/08/2023,10:28,205.3988037109375
11/08/2023,10:28,204.765869140625
11/08/2023,10:29,204.05386352539062
11/08/2023,10:29,206.31817626953125
11/08/2023,10:29,207.53668212890625
11/08/2023,10:29,208.69219970703125
11/08/2023,10:29,175.7701416015625
11/08/2023,10:29,189.80960083007812
11/08/2023,10:30,215.828125
11/08/2023,10:30,227.83969116210938
11/08/2023,10:30,229.84515380859375
11/08/2023,10:30,231.8514404296875
11/08/2023,10:30,236.86215209960938
