Date,Time,C_CO2
11/08/2023,09:56,409.1999816894531
11/08/2023,09:56,411.35333251953125
11/08/2023,09:57,411.4695739746094
11/08/2023,09:57,411.5661926269531
11/08/2023,09:57,411.6558837890625
11/08/2023,09:57,411.7246398925781
11/08/2023,09:57,411.7796325683594
11/08/2023,09:57,411.83746337890625
11/08/2023,09:58,411.9075012207031
11/08/2023,09:58,409.98541259765625
11/08/2023,09:58,408.10186767578125
11/08/2023,09:58,408.21734619140625
11/08/2023,09:58,408.3620300292969
11/08/2023,09:58,408.54644775390625
11/08/2023,09:59,408.7558288574219
11/08/2023,09:59,408.96087646484375
11/08/2023,09:59,409.1248474121094
11/08/2023,09:59,407.2436218261719
11/08/2023,09:59,407.3160705566406
11/08/2023,09:59,407.3793029785156
11/08/2023,10:00,407.42999267578125
11/08/2023,10:00,409.477783203125
11/08/2023,10:00,409.5169372558594
11/08/2023,10:00,409.5602722167969
11/08/2023,10:00,409.6142578125
11/08/2023,10:00,409.6925048828125
11/08/2023,10:01,409.7748107910156
11/08/2023,10:01,407.8893737792969
11/08/2023,10:01,406.03936767578125
11/08/2023,10:01,406.23846435546875
11/08/2023,10:01,406.5332336425781
11/08/2023,10:01,406.7741394042969
11/08/2023,10:02,407.0019226074219
